RP_Nr,WGS_Breite,WGS_Laenge
SLE-0024,50.5510520,6.4797220
SLE-0026,50.5488240,6.4858270
SLE-0039,50.5420900,6.5030390
SLE-0042,50.5450900,6.5183370
SLE-0045,50.5369800,6.5209930
SLE-0047,50.5343060,6.5175630
SLE-0050,50.5318400,6.5145450
SLE-0081,50.5350900,6.4984540
SLE-0116,50.5370450,6.4799890
SLE-0207,50.5637170,6.4806140
SLE-0272,50.5459670,6.4685590
SLE-0297,50.5524200,6.4840540
SLE-0397,50.5315440,6.5142220
SLE-0424,50.5268400,6.4941080
SLE-0548,50.5145400,6.4635400
SLE-0576,50.5094640,6.4630080
SLE-0637,50.5294650,6.4230720
SLE-0642,50.5276100,6.4320910
SLE-0645,50.5277670,6.4353850
SLE-0655,50.5264050,6.4451240
SLE-0660,50.5265100,6.4490270
SLE-0691,50.5223000,6.4647750
SLE-0710,50.5155000,6.4597920
SLE-0722,50.5122450,6.4376090
SLE-0757,50.5369530,6.4221130
SLE-0762,50.5383870,6.4235170
SLE-0772,50.5369340,6.4070120
SLE-0779,50.5397150,6.4070850
SLE-0789,50.5398670,6.3941760
SLE-0820,50.5509700,6.4064390
SLE-0855,50.5447650,6.4232110
SLE-0864,50.5403750,6.4089690
SLE-0899,50.5134800,6.3984370
SLE-0905,50.5174500,6.3909110
SLE-0908,50.5171620,6.3777920
SLE-0910,50.5214040,6.3707280
SLE-0951,50.5280230,6.4043120
SLE-0965,50.5279100,6.4116840
SLE-1007,50.5165440,6.4245520
SLE-1027,50.5103300,6.4294890
SLE-1036,50.5058360,6.4251350
SLE-1041,50.5082800,6.4211370
SLE-1049,50.5692860,6.5027730
SLE-1054,50.5672260,6.5061720
SLE-1059,50.5644530,6.5127580
SLE-1073,50.5494730,6.5192930
SLE-1150,50.5657120,6.4702260
SLE-1166,50.5600200,6.4681730
SLE-1182,50.5670200,6.4563020
SLE-1187,50.5718960,6.4600360
SLE-1255,50.5339500,6.4307590
SLE-1262,50.5357400,6.4416700
SLE-1268,50.5263860,6.4581780
SLE-1320,50.5442280,6.4641070
SLE-1344,50.5365870,6.4758780
SLE-1349,50.5366940,6.4766910
SLE-1360,50.5310360,6.4735070
SLE-1400,50.5717280,6.5067680
SLE-1450,50.5664180,6.4949590
SLE-1453,50.5660000,6.4963660
SLE-1495,50.5701700,6.5226830
SLE-1507,50.5488700,6.5192960
SLE-1520,50.5697860,6.4784820
SLE-1523,50.5666850,6.4739020
SLE-1575,50.5256230,6.4801180
SLE-1591,50.5503650,6.4784030
SLE-1592,50.5559430,6.4770750
SLE-1593,50.5748020,6.4399070
SLE-1601,50.5350700,6.4906790
SLE-1602,50.5071400,6.4506640
SLE-1603,50.5190120,6.4769710
SLE-1604,50.5211900,6.4358680
SLE-1605,50.5668750,6.4681730
SLE-1606,50.5616150,6.4555760
SLE-1607,50.5080640,6.4288220
SLE-1608,50.5094700,6.4248660
SLE-1609,50.5114170,6.4197380
SLE-1610,50.5123330,6.4127200
SLE-1611,50.5137300,6.4075510
HM-140,52.0951400,9.3379320
SLE-1612,50.5175200,6.3964230
SLE-1613,50.5133700,6.3711320
SLE-1614,50.5084340,6.3641560
HM-130,52.1356540,9.3799050
HM-131,52.1346700,9.3409450
HM-132,52.1334340,9.3623630
HM-133,52.1263200,9.3970030
HM-134,52.1275060,9.3419080
HM-135,52.1210700,9.3754510
HM-136,52.1197500,9.3871160
HM-137,52.1038630,9.3277650
HM-138,52.0994070,9.3359890
HM-141,52.0896800,9.3346590
HM-142,52.0858700,9.3133190
H-7202,52.2336920,9.5866270
H-8400,52.2582860,9.5684690
H-8401,52.2542760,9.5496780
H-8413,52.2406700,9.5779540
H-8402,52.2415900,9.5365090
H-8404,52.2479550,9.5613820
H-8414,52.2345500,9.5949580
H-8412,52.2418000,9.5999380
H-8403,52.2397540,9.5568500
H-8405,52.2581830,9.5768130
H-7204,52.2198220,9.5837670
H-7203,52.2223930,9.6011190
H-7201,52.2249030,9.6135130
H-1202,52.2941700,9.4305570
H-1203,52.2924800,9.4380890
H-1204,52.2844920,9.4317010
H-8406,52.2558440,9.5881530
H-8407,52.2524600,9.6030260
H-8408,52.2487260,9.6087460
H-8409,52.2445220,9.6249540
H-1201,52.3029750,9.4465740
H-8410,52.2337230,9.6339130
H-8411,52.2365840,9.6215210
HSK 2050,51.4082600,8.8865840
HSK 2051,51.3964840,8.8845030
HSK 2052,51.3865700,8.8479070
HSK 2053,51.3949400,8.8231120
HSK 2054,51.4375000,8.9043480
HSK 2055,51.4037970,8.7598190
HSK 2056,51.3896140,8.7231850
HSK 2057,51.4167860,8.9317410
HSK 2058,51.4664200,8.8401690
HSK 2059,51.4977200,8.9062150
HSK 2060,51.4894940,8.8436410
HSK 2061,51.4947780,8.8555200
HSK 2062,51.4987200,8.8757450
HSK 2063,51.4528430,8.8502830
HSK 2064,51.3969600,8.8872850
HSK 2065,51.3983230,8.8893130
HSK 2066,51.3924300,8.8949590
HSK 2067,51.4127660,8.8028410
HSK 2068,51.4057660,8.7583790
HSK 2069,51.4106250,8.7195150
HSK 2070,51.4227800,8.7772760
HSK 2071,51.4476500,8.8351740
HSK 2072,51.4432560,8.8632950
HSK 2073,51.4494970,8.8635420
HSK 2074,51.4552570,8.8596830
HSK 2075,51.4577000,8.8577760
HSK 2076,51.4655720,8.8625240
HSK 2077,51.4569740,8.8526330
HSK 2078,51.4686500,8.8665690
HSK 2079,51.4071920,8.7539140
HSK 2080,51.4650570,8.8474830
HSK 2081,51.4787670,8.8253840
HSK 2082,51.4949870,8.9061370
HSK 2083,51.4061430,8.8269330
HSK 2084,51.5080800,8.8735380
HSK 2085,51.4586750,8.8382680
HSK 2086,51.3976800,8.7494650
HSK 2087,51.5174670,8.8593940
HSK 2088,51.3943140,8.8607260
HSK 2089,51.3908120,8.7229200
HSK 2090,51.4076350,8.7930170
HSK 2091,51.4095760,8.7946960
HSK 2092,51.4002000,8.7615730
HSK 2093,51.4049100,8.7713240
HSK 2094,51.3844600,8.7360040
HSK 2095,51.4092520,8.7508230
HSK 2096,51.4152570,8.8320570
HSK 2097,51.4040530,8.8328020
HSK 2098,51.3964920,8.8401030
HSK 2099,51.4060630,8.8554240
HSK 2430,51.4402900,8.8915740
HSK 2431,51.4840300,8.8172160
HSK 2432,51.5241200,8.8602980
HSK 2433,51.4024300,8.8919650
HSK 2434,51.4568750,8.8492190
HSK 2435,51.4702570,8.8643350
HSK 2436,51.4228550,8.7822370
HSK 2437,51.4083020,8.7634570
HSK 2438,51.4205170,8.8085520
HSK 2439,51.4795650,8.8375090
HSK 2440,51.4950100,8.9240420
HSK 2441,51.4438200,8.8898960
HSK 2442,51.4576600,8.8571760
HSK 2443,51.4599570,8.8530380
HSK 2444,51.4695320,8.8676630
HSK 2445,51.4641080,8.8501880
HSK 2446,51.4565200,8.8446290
HSK 2447,51.5062830,8.8791410
HSK 2448,51.4015500,8.9227310
HSK 2449,51.4224930,8.9451460
HSK 2450,51.4439400,8.8579670
HSK 2451,51.5171900,8.8595690
HSK 2452,51.4291570,8.8150470
HSK 2453,51.4954530,8.9275130
HSK 2454,51.4875300,8.8909860
HSK 2455,51.4491730,8.8403970
BP 27,51.9949070,9.1979890
BP 26,51.9943050,9.2086260
BP 28,51.9910850,9.2014170
BP 25,51.9987260,9.2142980
BP 24,52.0001140,9.2290330
BP 18,52.0085560,9.2482310
BP 23,52.0030250,9.2437260
BP 19,52.0042420,9.2519690
BP 20,51.9985000,9.2547980
BP 22,51.9959070,9.2499200
BP 21,52.0047260,9.2660630
BP 17,52.0070720,9.2770160
BP 16,52.0028080,9.2788040
BP 15,51.9947050,9.2830220
BP 31,51.9697600,9.1969270
BP 29,51.9830250,9.2003000
BP 30,51.9810180,9.1893580
BP 12,51.9941900,9.3171790
BP 13,51.9953200,9.3067740
BP 14,51.9916400,9.2973680
BP 11,51.9787030,9.3341550
BP 10,51.9770700,9.3289040
BP 8,51.9801450,9.3162130
BP 9,51.9800900,9.3212670
BP 7,51.9810100,9.3094870
BP 5,51.9731180,9.3031540
BP 4,51.9766580,9.3021100
BP 6,51.9670750,9.3059900
BP 2,51.9679530,9.2890860
BP 1,51.9685750,9.2835200
BP 32,51.9379650,9.3124220
BP 33,51.9379700,9.3037400
BP 34,51.9357100,9.2960970
BP 35,51.9326200,9.2897590
BP 36,51.9306070,9.3033360
BP 37,51.9271660,9.2939480
BP 3,51.9766300,9.2930000
EL-PB-001,53.0480700,7.4876570
EL-PB-002,53.0435180,7.4829930
EL-PB-003,53.0388450,7.4287480
EL-PB-004,53.0329800,7.4221230
EL-PB-005,53.0530550,7.4250630
EL-PB-006,53.0580640,7.4335810
EL-PB-007,53.0539130,7.3974900
EL-PB-008,53.0602070,7.3721160
H-2001,52.4425740,10.0024670
H-2002,52.4429100,10.0016910
H-2003,52.4432530,10.0019000
H-2004,52.4433300,10.0013260
H-2005,52.4429100,10.0004810
H-2006,52.4425500,10.0008420
H-2007,52.4422260,10.0006860
H-2008,52.4421000,10.0010110
H-2009,52.4428370,9.9998450
H-2010,52.4427700,9.9991290
H-2011,52.4413570,9.9982430
H-2012,52.4410700,9.9985150
H-2013,52.4414800,9.9990800
H-2014,52.4420400,9.9991430
H-2015,52.4422450,9.9989240
H-2016,52.4417570,9.9996670
H-2017,52.4416240,9.9998260
H-2018,52.4407500,9.9984060
H-2019,52.4414980,10.0011290
H-2020,52.4397700,9.9992820
H-2021,52.4409180,10.0019580
H-2022,52.4422720,10.0069410
H-2023,52.4436230,10.0056150
H-2024,52.4435200,10.0047730
H-2025,52.4440270,10.0059210
H-2026,52.4444350,10.0066280
H-2027,52.4447140,10.0064200
H-2028,52.4446030,10.0059850
H-2029,52.4443860,10.0053700
H-2030,52.4454600,10.0072270
H-2031,52.4452930,10.0068090
H-2032,52.4418100,10.0035090
H-2033,52.4422200,10.0032120
H-2034,52.4455200,10.0041770
H-2035,52.4461360,10.0040780
H-2036,52.4468150,10.0053270
H-2037,52.4472120,10.0055350
H-2038,52.4458400,10.0022340
H-2039,52.4454230,10.0091820
H-2040,52.4460300,10.0073640
H-2041,52.4467400,10.0088840
H-2042,52.4461940,10.0103320
H-2043,52.4475480,10.0121930
H-2044,52.4478030,10.0118170
H-2045,52.4472580,10.0093480
H-2046,52.4466300,10.0074690
H-2047,52.4467470,10.0061820
H-2048,52.4474750,10.0045970
H-2049,52.4476100,10.0054540
H-2050,52.4479260,10.0076990
H-2051,52.4457240,10.0154320
H-2052,52.4464500,10.0167350
H-2053,52.4469030,10.0176960
H-2054,52.4471000,10.0183850
H-2055,52.4472660,10.0197910
H-2057,52.4481350,10.0033420
H-2058,52.4494360,10.0042780
H-2059,52.4488500,10.0037910
H-2060,52.4485100,10.0041750
H-2061,52.4482960,10.0041630
H-2062,52.4480000,10.0052960
H-2063,52.4482350,10.0092040
H-2064,52.4481930,10.0068940
H-2065,52.4500430,10.0081820
H-2066,52.4433700,10.0124030
H-2067,52.4438500,10.0127920
H-2068,52.4438930,10.0146060
H-2069,52.4454570,10.0226910
H-2070,52.4452550,10.0169310
H-2071,52.4444850,10.0174560
H-2072,52.4451030,10.0129020
H-2073,52.4452400,10.0136800
H-2075,52.4497100,10.0222800
H-2076,52.4542920,10.0203620
H-2077,52.4537900,10.0181110
H-2078,52.4557040,10.0165590
H-2079,52.4567950,10.0166420
H-2080,52.4410970,9.9982690
H-2056,52.4477230,10.0038520
H-2082,52.4574100,10.0152630
H-2083,52.4586830,10.0164890
H-2084,52.4572800,10.0184100
H-2085,52.4557500,10.0175170
H-2086,52.4558330,10.0186550
H-2087,52.4518470,10.0155470
H-2088,52.4521260,10.0151510
H-2089,52.4511640,10.0134090
H-2090,52.4528800,10.0147160
H-2091,52.4577940,10.0110580
H-2092,52.4537730,10.0120580
H-2093,52.4546300,10.0114210
H-2094,52.4555470,10.0092610
H-2095,52.4587670,10.0086940
H-2096,52.4587940,10.0077760
H-2097,52.4525200,10.0056180
H-2098,52.4534650,10.0064150
H-2099,52.4548150,10.0069220
H-2100,52.4615400,10.0108670
H-2101,52.4610000,10.0096980
H-2102,52.4621800,10.0130610
H-2103,52.4619200,10.0131510
H-2104,52.4612920,10.0169560
H-2105,52.4360850,9.9991310
H-2106,52.4319400,10.0042930
H-2107,52.4300770,10.0039670
H-2108,52.4288200,10.0066680
H-2109,52.4305950,10.0072260
H-2110,52.4332430,10.0081830
H-2111,52.4352720,10.0033800
H-2112,52.4363630,10.0067720
H-2113,52.4388660,10.0082980
H-2114,52.4382630,10.0102780
H-2115,52.4389720,10.0139530
H-2116,52.4375420,10.0171820
H-2117,52.4369200,10.0119140
H-2118,52.4354900,10.0124590
H-2119,52.4409520,10.0160920
H-2120,52.4371100,10.0197720
H-2121,52.4377700,10.0222170
H-2122,52.4338100,10.0187050
H-2123,52.4331670,10.0184790
H-2124,52.4322900,10.0178900
H-2125,52.4323700,10.0190300
H-2126,52.4336360,10.0206600
H-2127,52.4303630,10.0171770
H-2128,52.4352600,10.0287390
H-2129,52.4360430,10.0228720
H-2130,52.4363200,10.0228100
H-2131,52.4398800,10.0211430
H-2132,52.4400560,10.0244320
H-2133,52.4390640,10.0272540
H-2134,52.4421840,10.0274810
H-2135,52.4434660,10.0286350
H-2136,52.4431420,10.0286220
H-2137,52.4441260,10.0289510
H-2138,52.4446400,10.0286610
H-2139,52.4448850,10.0280170
H-2140,52.4430920,10.0349300
H-2141,52.4417000,10.0177620
H-2142,52.4459340,10.0333880
H-2143,52.4487500,10.0374600
H-2144,52.4643300,10.0502710
H-2145,52.4712140,10.0507720
H-2146,52.4637200,10.0391950
H-2147,52.4800900,10.0440670
H-2148,52.4796870,10.0461200
H-2149,52.4793170,10.0535850
H-2150,52.4823500,10.0577050
H-2151,52.4828380,10.0481420
H-2152,52.4597240,10.0285320
H-2153,52.4587900,10.0286490
H-2154,52.4574050,10.0339270
H-2155,52.4628520,10.0246770
H-2156,52.4665600,10.0219880
H-2157,52.4509400,10.0111570
H-2158,52.4361880,10.0096400
H-2159,52.4450450,9.9900360
H-2160,52.4455030,10.0004490
H-2161,52.4477900,10.0001090
H-2162,52.4506450,9.9992210
H-2163,52.4488950,10.0025740
H-2164,52.4513600,10.0005780
H-2165,52.4502400,10.0005940
H-2166,52.4523700,10.0005340
H-2167,52.4553380,10.0004190
H-2168,52.4549140,10.0006000
H-2169,52.4553530,10.0047920
H-2170,52.4559500,9.9986190
H-2171,52.4551930,9.9979890
H-2172,52.4554940,9.9973280
H-2173,52.4576150,9.9969470
H-2174,52.4584800,9.9974610
H-2175,52.4585000,10.0002080
H-2176,52.4572940,9.9813990
H-2177,52.4568020,9.9795260
H-2178,52.4574600,9.9866810
H-2179,52.4573440,9.9860110
H-2180,52.4573480,9.9857570
H-2181,52.4542000,9.9874720
H-2182,52.4542300,9.9885320
H-2183,52.4552150,9.9891030
H-2184,52.4568060,9.9880930
H-2185,52.4564440,9.9883250
H-2186,52.4574130,9.9890120
H-2187,52.4575770,9.9904280
H-2188,52.4577800,9.9922330
H-2189,52.4561700,9.9929550
H-2191,52.4514270,9.9980530
H-2192,52.4506720,9.9952490
H-2193,52.4517200,9.9934510
H-2194,52.4514470,9.9929620
H-2195,52.4495770,9.9917490
H-2196,52.4492900,9.9917880
H-2197,52.4480100,9.9930920
H-2198,52.4458600,9.9938040
H-2199,52.4471550,9.9968430
H-2200,52.4467700,9.9895230
H-2201,52.4465200,9.9846420
H-2202,52.4545020,9.9856840
H-2203,52.4543900,9.9865500
H-2204,52.4525450,9.9892020
H-2205,52.4520450,9.9875640
H-2206,52.4520100,9.9851360
H-2207,52.4505230,9.9852230
H-2208,52.4499630,9.9856930
H-2209,52.4380260,10.0243430
H-2210,52.4501230,9.9883940
H-2211,52.4488100,9.9855920
H-2212,52.4322470,10.0046170
H-2213,52.4550860,10.0460560
H-2214,52.4618900,10.0485280
H-2216,52.4400140,9.9805770
H-2217,52.4558830,10.0657840
H-2218,52.4613760,10.0720620
H-2219,52.4547580,9.9696270
H-2220,52.4461980,9.9742660
H-2221,52.4455380,9.9701130
H-2222,52.4429900,9.9758280
H-2223,52.4409400,9.9688720
H-2224,52.4421650,9.9423470
H-2225,52.4421900,9.9423860
H-2226,52.4649730,9.9675600
H-2227,52.4657100,9.9735820
H-2228,52.4659540,9.9753950
H-2229,52.4666370,9.9770220
H-2230,52.4669700,9.9821330
H-2231,52.4671600,9.9784860
H-2232,52.4637700,9.9794320
H-2233,52.4615550,9.9721300
H-2234,52.4628030,9.9719000
H-2235,52.4687100,9.9804340
H-2236,52.4685820,9.9803310
H-2237,52.4840900,10.0157180
H-2238,52.4329830,10.0705640
H-2240,52.4624370,10.0334500
H-2241,52.4805530,10.0373410
H-2242,52.4836580,10.0424190
H-2243,52.4855540,10.0423920
H-2244,52.4859470,10.0206720
H-2245,52.5001530,10.0170790
H-2246,52.4928000,10.0170100
H-2247,52.4868800,10.0069470
H-2248,52.4899670,10.0002720
H-2249,52.4864580,9.9954690
H-2250,52.4705800,9.9873040
H-2251,52.4686000,9.9950710
H-2259,52.5206700,10.0110070
H-2260,52.5269400,10.0216020
H-2261,52.5307000,10.0176450
H-2262,52.5217930,10.0258650
H-2263,52.5153730,10.0074840
H-2264,52.5114100,9.9871510
H-2265,52.5104000,9.9934480
H-2266,52.4340670,9.9628930
H-2267,52.4360280,9.9378920
H-2268,52.4600520,10.0557640
H-2269,52.4526860,10.0609370
H-2271,52.4711340,10.0704730
H-2273,52.4554860,9.9792620
H-2274,52.4475330,9.9806100
H-2275,52.4521300,9.9538450
H-2276,52.4317860,9.9636200
H-2277,52.4349020,9.9563350
H-2278,52.4363140,9.9847080
H-2279,52.4379730,9.9959350
H-2280,52.4836000,10.0514170
H-2281,52.5266900,10.0150700
H-2282,52.5168460,9.9904960
H-2283,52.5105170,9.9875830
H-2285,52.5043330,9.9855890
H-2286,52.5050540,9.9895030
H-2287,52.5208300,10.0020130
H-2288,52.5209350,9.9901190
H-2289,52.5209960,9.9837240
H-2290,52.4993700,9.9891610
H-2291,52.5121960,10.0154200
H-2292,52.5338300,9.9901110
H-2293,52.4384000,9.9333820
H-2294,52.4327500,9.9438150
H-2295,52.4435350,9.9542610
H-2296,52.4491920,9.9444040
H-2297,52.4539800,9.9456310
H-2298,52.5069050,10.0512610
H-2299,52.4919780,10.0471630
H-2300,52.4898150,10.0421530
H-2301,52.5006370,10.0510650
H-2302,52.4888800,10.0522430
H-2303,52.4845850,10.0309660
H-2304,52.4782100,10.0303810
H-2305,52.4756660,10.0345110
H-2306,52.4704060,10.0293370
H-2307,52.4758500,10.0397700
H-2308,52.4707100,10.0425300
H-2309,52.4592740,10.0392650
H-2310,52.4432400,10.0529720
H-2311,52.4348030,10.0490500
H-2312,52.4488100,10.0528240
H-2313,52.4513500,10.0379520
H-2314,52.4454960,10.0122690
H-2315,52.5124550,10.0102400
H-2316,52.4384700,9.9397400
H-2317,52.4459840,10.0048390
H-2318,52.4904170,10.0087110
H-2319,52.4399600,10.0261710
H-2320,52.4499470,9.9847140
H-2321,52.4487840,9.9880670
H-2322,52.4472500,9.9871670
H-2323,52.4472470,9.9850530
H-2324,52.4479640,9.9845990
H-2325,52.4551470,9.9813980
H-2326,52.4398200,10.0308940
H-2327,52.4645420,10.0334170
GI-117,50.4480800,8.9457710
Cux-901,53.8409650,8.6235650
RE 797-159,51.5814500,7.2640930
RE 803-161,51.5835840,7.2722290
RE 812-166,51.5876800,7.2846570
RE 826-176,51.5970340,7.3050370
RE 719-127,51.5512280,7.1518450
RE 760-138,51.5615500,7.2116840
RE 774-145,51.5686600,7.2316820
RE 756-137,51.5605500,7.2059790
RE 789-155,51.5771000,7.2520900
RE 832-175,51.5964430,7.3138340
RE 790-157,51.5794680,7.2536830
RE 839-174,51.5955600,7.3234110
RE 843-173,51.5951100,7.3289280
1929R10,54.0800060,10.5412430
1829R35,54.1011400,10.5432500
2129R02,53.8304670,10.5346590
1829R27,54.1527000,10.5478630
1829R29,54.1324600,10.5529130
1829R28,54.1380420,10.5542630
1929R08,54.0858880,10.5540080
1929R01,54.0119970,10.5530370
1829R31,54.1631300,10.5611440
1829R25,54.1900300,10.5637950
1929R09,54.0828480,10.5632470
1729R07,54.2244220,10.5725040
1729R08,54.2318650,10.5731400
1829R34,54.1196140,10.5689440
2029R05,53.9565240,10.5621170
1729R05,54.2049000,10.5778930
2029R03,53.9865100,10.5704600
1729R09,54.2222900,10.5824660
1929R04,54.0288350,10.5777480
1829R18,54.1614880,10.5857630
1829R30,54.1417900,10.5855150
2029R04,53.9647100,10.5789350
1729R06,54.2128680,10.5903530
2029R06,53.9857670,10.5834670
1929R06,54.0593340,10.5877930
1829R11,54.1859200,10.5932250
1929R05,54.0388900,10.5880820
2029R07,53.9945700,10.5951620
1829R39,54.1971440,10.6030720
1119R04,54.8666700,8.8803740
1422R02,54.5916500,9.3554020
1422R03,54.5864750,9.3776000
1423R05,54.5107500,9.5259950
1423R09,54.5157100,9.5336890
1323R04,54.6744000,9.5897990
2225R01,53.7660680,9.9671480
2427R06,53.5230870,10.1949790
2328R06,53.6186400,10.3663380
2128R09,53.8156800,10.4175810
2328R09,53.6146800,10.4297700
2028R02,53.9054150,10.4701030
1829R24,54.1737200,10.5112940
2029R01,53.9881480,10.5081460
1829R20,54.1927700,10.5187620
1829R32,54.1259160,10.5202610
1829R19,54.1897240,10.5229100
2129R01,53.8477130,10.5109010
1829R33,54.1134220,10.5207670
1829R37,54.0996800,10.5223590
2029R08,53.9517020,10.5180720
1829R21,54.1867450,10.5281620
1829R36,54.1017380,10.5258740
2226R17,53.7155840,10.0287550
1929R02,54.0105440,10.5228230
2029R02,53.9922450,10.5300540
1829R23,54.1712460,10.5415450
1829R26,54.1540220,10.5392330
1929R03,53.9996700,10.5349320
2129R03,53.8582080,10.5300970
1829R22,54.1770020,10.5424760
1930R04,54.0180440,10.7454680
2030R18,53.9239230,10.7471090
2030R02,53.9169850,10.7497720
1930R03,54.0137750,10.7598320
2030R04,53.9590450,10.7596100
1930R01,54.0045050,10.7667600
1930R02,54.0091630,10.7673840
GÖ-010,51.5403330,10.0863420
GÖ-011,51.5451200,10.2442660
GÖ-012,51.6117740,10.3407230
GÖ-013,51.5952070,10.1043190
GÖ-001,51.5353500,10.2855660
GÖ-002,51.5783700,10.0951980
GÖ-003,51.5099830,10.2142250
GÖ-004,51.6009860,10.1559580
GÖ-005,51.5860200,10.0755570
GÖ-006,51.5391850,10.0840370
GÖ-020,51.5246300,10.0535330
GÖ-007,51.5691300,10.2548590
GÖ-008,51.5649640,10.0535280
GÖ-016,51.5119630,10.2062540
GÖ-015,51.5832700,10.0997740
GÖ-017,51.5479430,10.2370480
GÖ-018,51.5996930,10.1006900
GÖ-014,51.5892900,10.3085890
GÖ-019,51.5726130,10.2862130
1930R14,53.9996530,10.7712520
2030R03,53.9307400,10.7694270
2030R21,53.9919430,10.7788540
2030R29,53.9065360,10.7803560
2030R28,53.9176500,10.7885130
2031R01,53.9182550,10.8502930
EN-5001,51.3100400,7.3481300
1831R05,54.1805840,10.9547440
1831R03,54.1847880,10.9675820
1831R04,54.1782570,10.9739040
1831R01,54.1858370,10.9813130
1831R02,54.1814500,10.9830180
1832R03,54.1963500,11.0367550
1832R01,54.1886670,11.0392890
1732R01,54.2078250,11.0421180
1832R02,54.1948700,11.0523900
1732R02,54.2031140,11.0642940
1732R03,54.2147500,11.0682170
1119R02,54.8526000,8.9328610
1119R05,54.8373530,8.9395610
1829R17,54.1594770,10.6018540
1829R14,54.1876000,10.6113220
1929R07,54.0621220,10.6065030
1829R15,54.1839750,10.6177320
1829R09,54.1743850,10.6207170
1829R05,54.1469400,10.6243580
2029R09,53.9728000,10.6185000
1829R12,54.1962500,10.6315480
1829R07,54.1900250,10.6380750
1829R03,54.1607400,10.6387400
1829R08,54.1821330,10.6410260
1829R02,54.1710970,10.6417370
1829R06,54.1369860,10.6419480
1829R13,54.1945950,10.6443850
1729R03,54.2097780,10.6477170
1829R04,54.1490600,10.6467120
1829R10,54.1785280,10.6548220
1729R01,54.1983640,10.6557680
1829R01,54.1189460,10.6555350
1729R04,54.2071040,10.6626320
2029R12,53.9247400,10.6527080
1829R16,54.1934050,10.6636440
1830R04,54.1439820,10.6697730
1930R16,54.0845870,10.6712370
1830R03,54.0983770,10.6739320
1830R05,54.1466450,10.6831500
1930R17,54.0909100,10.6829550
1830R01,54.1114430,10.6861270
1830R02,54.1289330,10.6889030
2030R27,53.9807430,10.6841470
2030R06,53.9311940,10.6826540
1930R13,54.0004800,10.6867000
2030R26,53.9833220,10.6980200
1930R06,54.0267750,10.7025370
2030R24,53.9749900,10.7012630
1930R12,53.9996200,10.7026030
2030R20,53.9412800,10.7016720
1930R07,54.0338170,10.7058780
2030R14,53.9283870,10.7014230
1930R11,54.0613480,10.7083510
2030R12,53.9454840,10.7036310
2030R23,53.9793660,10.7051000
2030R05,53.9529340,10.7053150
2030R08,53.9199640,10.7048530
2030R25,53.9677500,10.7080080
2030R09,53.9165100,10.7063870
1930R08,54.0479620,10.7145810
2030R13,53.9287000,10.7104170
2130R01,53.8953600,10.7151700
2030R19,53.9265820,10.7166030
1930R09,54.0559650,10.7222420
2030R11,53.9371500,10.7209660
2030R10,53.9462000,10.7227550
1930R15,54.0870250,10.7289230
2030R22,53.9896280,10.7270950
1930R10,54.0536770,10.7314320
1930R05,54.0277400,10.7343520
2030R15,53.9345740,10.7336970
2030R17,53.9328840,10.7363980
2030R16,53.9267900,10.7384290
2130R02,53.8970450,10.7378780
1321R01,54.6449970,9.1948180
1421R02,54.5365750,9.1986160
1121R01,54.8107340,9.2082060
1521R02,54.4095270,9.2126540
1221R01,54.6992500,9.2096590
1621R01,54.3675600,9.2187210
1221R02,54.7715000,9.2213670
1321R02,54.6302700,9.2295100
1922R01,54.0747260,9.4286940
1521R01,54.4557400,9.2299080
1221R03,54.7673450,9.2327170
1321R03,54.6073300,9.2440270
1421R01,54.5113450,9.2747640
1521R04,54.4841840,9.2966850
1423R06,54.5609440,9.5084030
1623R08,54.3463750,9.5065630
1423R01,54.5244400,9.5089990
1923R03,54.0067370,9.5082200
1423R03,54.5261200,9.5157390
1123R02,54.8193000,9.5202810
1623R07,54.3401150,9.5210160
1423R04,54.5197680,9.5241120
1123R03,54.8353000,9.5320810
2023R07,53.9705800,9.5236580
1623R02,54.3635700,9.5332350
1523R03,54.4061050,9.5338870
1923R07,54.0476700,9.5333310
1123R04,54.8412100,9.5466040
1423R08,54.5757500,9.5470840
1923R04,54.0149960,9.5408450
1623R01,54.3778880,9.5459180
1323R01,54.6970900,9.5522530
1323R03,54.6975630,9.5558670
1623R06,54.3398860,9.5516400
1723R01,54.2661740,9.5513450
1623R03,54.3613550,9.5527740
1623R04,54.3553850,9.5555860
1123R05,54.8391150,9.5626380
1923R08,54.1015300,9.5535900
1323R02,54.6807250,9.5613860
1523R01,54.4868130,9.5661940
1521R03,54.4452970,9.2964530
1521R05,54.4895400,9.3174220
1222R01,54.7549400,9.3329920
1422R05,54.5275760,9.3389260
1422R01,54.5157240,9.3433060
1122R01,54.8321570,9.4048230
1422R06,54.5891000,9.4461820
1922R02,54.0862660,9.4432080
1322R02,54.6166950,9.4494260
1422R07,54.5827560,9.4492530
1322R01,54.6213800,9.4690520
1922R03,54.0747900,9.4644730
1722R01,54.2624630,9.4848450
1322R03,54.6109900,9.4895720
1122R02,54.8148770,9.4935160
1524R12,54.4206350,9.7556260
1123R06,54.7983860,9.4992230
1422R08,54.5592840,9.4966350
1123R01,54.8224700,9.5035970
1423R07,54.5488360,9.5032160
1423R02,54.5116350,9.5060140
1319R01,54.6536100,8.9594390
1119R03,54.8601340,8.9640940
1119R01,54.8163720,8.9809700
1219R01,54.7587200,8.9869080
